ProductKey,ProductName,Color,StandardCost,ListPrice,ProductSubcategory,ProductCategory,ProductDescription,ProductStatus
69,Hex Nut 20,NA,NULL,NULL,NULL,NULL,NULL,Current
70,Hex Nut 21,NA,NULL,NULL,NULL,NULL,NULL,Current
71,Hex Nut 3,NA,NULL,NULL,NULL,NULL,NULL,Current
72,Hex Nut 14,NA,NULL,NULL,NULL,NULL,NULL,Current
73,Hex Nut 15,NA,NULL,NULL,NULL,NULL,NULL,Current
74,Hex Nut 4,NA,NULL,NULL,NULL,NULL,NULL,Current
75,Hex Nut 18,NA,NULL,NULL,NULL,NULL,NULL,Current
76,Hex Nut 19,NA,NULL,NULL,NULL,NULL,NULL,Current
77,Handlebar Tube,NA,NULL,NULL,NULL,NULL,NULL,Current
78,Head Tube,NA,NULL,NULL,NULL,NULL,NULL,Current
79,LL Hub,NA,NULL,NULL,NULL,NULL,NULL,Current
80,HL Hub,NA,NULL,NULL,NULL,NULL,NULL,Current
81,Keyed Washer,NA,NULL,NULL,NULL,NULL,NULL,Current
82,External Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,Current
83,External Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,Current
84,External Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,Current
85,External Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,Current
86,External Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,Current
87,External Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,Current
88,External Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,Current
89,External Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,Current
90,External Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,Current
91,Internal Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,Current
92,Internal Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,Current
93,Internal Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,Current
94,Internal Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,Current
95,Internal Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,Current
96,Internal Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,Current
97,Internal Lock Washer 10,NA,NULL,NULL,NULL,NULL,NULL,Current
98,Internal Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,Current
99,Internal Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,Current
100,Internal Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,Current
101,Thin-Jam Lock Nut 9,NA,NULL,NULL,NULL,NULL,NULL,Current
102,Thin-Jam Lock Nut 10,NA,NULL,NULL,NULL,NULL,NULL,Current
103,Thin-Jam Lock Nut 1,NA,NULL,NULL,NULL,NULL,NULL,Current
104,Thin-Jam Lock Nut 2,NA,NULL,NULL,NULL,NULL,NULL,Current
105,Thin-Jam Lock Nut 15,NA,NULL,NULL,NULL,NULL,NULL,Current
106,Thin-Jam Lock Nut 16,NA,NULL,NULL,NULL,NULL,NULL,Current
107,Thin-Jam Lock Nut 5,NA,NULL,NULL,NULL,NULL,NULL,Current
108,Thin-Jam Lock Nut 6,NA,NULL,NULL,NULL,NULL,NULL,Current
109,Thin-Jam Lock Nut 3,NA,NULL,NULL,NULL,NULL,NULL,Current
110,Thin-Jam Lock Nut 4,NA,NULL,NULL,NULL,NULL,NULL,Current
111,Thin-Jam Lock Nut 13,NA,NULL,NULL,NULL,NULL,NULL,Current
112,Thin-Jam Lock Nut 14,NA,NULL,NULL,NULL,NULL,NULL,Current
113,Thin-Jam Lock Nut 7,NA,NULL,NULL,NULL,NULL,NULL,Current
114,Thin-Jam Lock Nut 8,NA,NULL,NULL,NULL,NULL,NULL,Current
115,Thin-Jam Lock Nut 12,NA,NULL,NULL,NULL,NULL,NULL,Current
116,Thin-Jam Lock Nut 11,NA,NULL,NULL,NULL,NULL,NULL,Current
117,Lock Nut 5,NA,NULL,NULL,NULL,NULL,NULL,Current
118,Lock Nut 6,NA,NULL,NULL,NULL,NULL,NULL,Current
119,Lock Nut 16,NA,NULL,NULL,NULL,NULL,NULL,Current
120,Lock Nut 17,NA,NULL,NULL,NULL,NULL,NULL,Current
121,Lock Nut 7,NA,NULL,NULL,NULL,NULL,NULL,Current
122,Lock Nut 8,NA,NULL,NULL,NULL,NULL,NULL,Current
123,Lock Nut 9,NA,NULL,NULL,NULL,NULL,NULL,Current
124,Lock Nut 22,NA,NULL,NULL,NULL,NULL,NULL,Current
125,Lock Nut 23,NA,NULL,NULL,NULL,NULL,NULL,Current
126,Lock Nut 12,NA,NULL,NULL,NULL,NULL,NULL,Current
127,Lock Nut 13,NA,NULL,NULL,NULL,NULL,NULL,Current
128,Lock Nut 1,NA,NULL,NULL,NULL,NULL,NULL,Current
129,Lock Nut 10,NA,NULL,NULL,NULL,NULL,NULL,Current
130,Lock Nut 11,NA,NULL,NULL,NULL,NULL,NULL,Current
131,Lock Nut 2,NA,NULL,NULL,NULL,NULL,NULL,Current
132,Lock Nut 20,NA,NULL,NULL,NULL,NULL,NULL,Current
133,Lock Nut 21,NA,NULL,NULL,NULL,NULL,NULL,Current
134,Lock Nut 3,NA,NULL,NULL,NULL,NULL,NULL,Current
135,Lock Nut 14,NA,NULL,NULL,NULL,NULL,NULL,Current
136,Lock Nut 15,NA,NULL,NULL,NULL,NULL,NULL,Current
137,Lock Nut 4,NA,NULL,NULL,NULL,NULL,NULL,Current
138,Lock Nut 19,NA,NULL,NULL,NULL,NULL,NULL,Current
139,Lock Nut 18,NA,NULL,NULL,NULL,NULL,NULL,Current
140,Lock Ring,Silver,NULL,NULL,NULL,NULL,NULL,Current
141,Lower Head Race,NA,NULL,NULL,NULL,NULL,NULL,Current
142,Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,Current
143,Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,Current
144,Lock Washer 10,NA,NULL,NULL,NULL,NULL,NULL,Current
145,Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,Current
146,Lock Washer 13,NA,NULL,NULL,NULL,NULL,NULL,Current
147,Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,Current
148,Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,Current
149,Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,Current
150,Lock Washer 12,NA,NULL,NULL,NULL,NULL,NULL,Current
151,Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,Current
152,Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,Current
153,Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,Current
154,Lock Washer 11,NA,NULL,NULL,NULL,NULL,NULL,Current
155,Metal Angle,NA,NULL,NULL,NULL,NULL,NULL,Current
156,Metal Bar 1,NA,NULL,NULL,NULL,NULL,NULL,Current
157,Metal Bar 2,NA,NULL,NULL,NULL,NULL,NULL,Current
158,Metal Plate 2,NA,NULL,NULL,NULL,NULL,NULL,Current
159,Metal Plate 1,NA,NULL,NULL,NULL,NULL,NULL,Current
160,Metal Plate 3,NA,NULL,NULL,NULL,NULL,NULL,Current
161,Metal Sheet 2,NA,NULL,NULL,NULL,NULL,NULL,Current
162,Metal Sheet 3,NA,NULL,NULL,NULL,NULL,NULL,Current
163,Metal Sheet 7,NA,NULL,NULL,NULL,NULL,NULL,Current
164,Metal Sheet 4,NA,NULL,NULL,NULL,NULL,NULL,Current
165,Metal Sheet 5,NA,NULL,NULL,NULL,NULL,NULL,Current
166,Metal Sheet 6,NA,NULL,NULL,NULL,NULL,NULL,Current
167,Metal Sheet 1,NA,NULL,NULL,NULL,NULL,NULL,Current
168,Metal Tread Plate,NA,NULL,NULL,NULL,NULL,NULL,Current
169,LL Nipple,NA,NULL,NULL,NULL,NULL,NULL,Current
170,HL Nipple,NA,NULL,NULL,NULL,NULL,NULL,Current
171,Paint - Black,NA,NULL,NULL,NULL,NULL,NULL,Current
172,Paint - Red,NA,NULL,NULL,NULL,NULL,NULL,Current
173,Paint - Silver,NA,NULL,NULL,NULL,NULL,NULL,Current
174,Paint - Blue,NA,NULL,NULL,NULL,NULL,NULL,Current
175,Paint - Yellow,NA,NULL,NULL,NULL,NULL,NULL,Current
176,Pinch Bolt,NA,NULL,NULL,NULL,NULL,NULL,Current
177,Cup-Shaped Race,NA,NULL,NULL,NULL,NULL,NULL,Current
178,Cone-Shaped Race,NA,NULL,NULL,NULL,NULL,NULL,Current
179,Reflector,NA,NULL,NULL,NULL,NULL,NULL,Current
180,LL Mountain Rim,NA,NULL,NULL,NULL,NULL,NULL,Current
181,ML Mountain Rim,NA,NULL,NULL,NULL,NULL,NULL,Current
182,HL Mountain Rim,NA,NULL,NULL,NULL,NULL,NULL,Current
183,LL Road Rim,NA,NULL,NULL,NULL,NULL,NULL,Current
184,ML Road Rim,NA,NULL,NULL,NULL,NULL,NULL,Current
185,HL Road Rim,NA,NULL,NULL,NULL,NULL,NULL,Current
186,Touring Rim,NA,NULL,NULL,NULL,NULL,NULL,Current
187,LL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
188,ML Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
189,HL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
190,LL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
191,ML Road Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
192,HL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
193,LL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
194,ML Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
195,HL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,Current
196,LL Spindle/Axle,NA,NULL,NULL,NULL,NULL,NULL,Current
197,HL Spindle/Axle,NA,NULL,NULL,NULL,NULL,NULL,Current
198,LL Shell,NA,NULL,NULL,NULL,NULL,NULL,Current
199,HL Shell,NA,NULL,NULL,NULL,NULL,NULL,Current
200,Spokes,NA,NULL,NULL,NULL,NULL,NULL,Current
201,Seat Lug,NA,NULL,NULL,NULL,NULL,NULL,Current
202,Stem,NA,NULL,NULL,NULL,NULL,NULL,Current
203,Seat Post,NA,NULL,NULL,NULL,NULL,NULL,Current
204,Steerer,NA,NULL,NULL,NULL,NULL,NULL,Current
205,Seat Stays,NA,NULL,NULL,NULL,NULL,NULL,Current
206,Seat Tube,NA,NULL,NULL,NULL,NULL,NULL,Current
207,Top Tube,NA,NULL,NULL,NULL,NULL,NULL,Current
208,Tension Pulley,NA,NULL,NULL,NULL,NULL,NULL,Current
209,Rear Derailleur Cage,Silver,NULL,NULL,NULL,NULL,NULL,Current
210,"HL Road Frame - Black, 58",Black,NULL,NULL,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
211,"HL Road Frame - Red, 58",Red,NULL,NULL,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
212,"Sport-100 Helmet, Red",Red,12.0278,33.6442,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
213,"Sport-100 Helmet, Red",Red,13.8782,33.6442,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
214,"Sport-100 Helmet, Red",Red,13.0863,34.99,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Current
215,"Sport-100 Helmet, Black",Black,12.0278,33.6442,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
216,"Sport-100 Helmet, Black",Black,13.8782,33.6442,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
217,"Sport-100 Helmet, Black",Black,13.0863,34.99,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Current
218,"Mountain Bike Socks, M",White,3.3963,9.50,Socks,Clothing,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
219,"Mountain Bike Socks, L",White,3.3963,9.50,Socks,Clothing,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
220,"Sport-100 Helmet, Blue",Blue,12.0278,33.6442,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
221,"Sport-100 Helmet, Blue",Blue,13.8782,33.6442,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
222,"Sport-100 Helmet, Blue",Blue,13.0863,34.99,Helmets,Accessories,"Universal fit, well-vented, lightweight , snap-on visor.",Current
223,AWC Logo Cap,Multi,5.7052,8.6442,Caps,Clothing,Traditional style with a flip-up brim; one-size fits all.,Outdate
224,AWC Logo Cap,Multi,5.2297,8.6442,Caps,Clothing,Traditional style with a flip-up brim; one-size fits all.,Outdate
225,AWC Logo Cap,Multi,6.9223,8.99,Caps,Clothing,Traditional style with a flip-up brim; one-size fits all.,Current
226,"Long-Sleeve Logo Jersey, S",Multi,31.7244,48.0673,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
227,"Long-Sleeve Logo Jersey, S",Multi,29.0807,48.0673,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
228,"Long-Sleeve Logo Jersey, S",Multi,38.4923,49.99,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
229,"Long-Sleeve Logo Jersey, M",Multi,31.7244,48.0673,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
230,"Long-Sleeve Logo Jersey, M",Multi,29.0807,48.0673,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
231,"Long-Sleeve Logo Jersey, M",Multi,38.4923,49.99,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
232,"Long-Sleeve Logo Jersey, L",Multi,31.7244,48.0673,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
233,"Long-Sleeve Logo Jersey, L",Multi,29.0807,48.0673,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
234,"Long-Sleeve Logo Jersey, L",Multi,38.4923,49.99,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
235,"Long-Sleeve Logo Jersey, XL",Multi,31.7244,48.0673,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
236,"Long-Sleeve Logo Jersey, XL",Multi,29.0807,48.0673,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
237,"Long-Sleeve Logo Jersey, XL",Multi,38.4923,49.99,Jerseys,Clothing,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
238,"HL Road Frame - Red, 62",Red,747.9682,1263.4598,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
239,"HL Road Frame - Red, 62",Red,722.2568,1301.3636,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
240,"HL Road Frame - Red, 62",Red,868.6342,1431.50,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
241,"HL Road Frame - Red, 44",Red,747.9682,1263.4598,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
242,"HL Road Frame - Red, 44",Red,722.2568,1301.3636,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
243,"HL Road Frame - Red, 44",Red,868.6342,1431.50,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
244,"HL Road Frame - Red, 48",Red,747.9682,1263.4598,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
245,"HL Road Frame - Red, 48",Red,722.2568,1301.3636,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
246,"HL Road Frame - Red, 48",Red,868.6342,1431.50,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
247,"HL Road Frame - Red, 52",Red,747.9682,1263.4598,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
248,"HL Road Frame - Red, 52",Red,722.2568,1301.3636,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
249,"HL Road Frame - Red, 52",Red,868.6342,1431.50,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
250,"HL Road Frame - Red, 56",Red,747.9682,1263.4598,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
251,"HL Road Frame - Red, 56",Red,722.2568,1301.3636,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
252,"HL Road Frame - Red, 56",Red,868.6342,1431.50,Road Frames,Components,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
253,"LL Road Frame - Black, 58",Black,176.1997,297.6346,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
254,"LL Road Frame - Black, 58",Black,170.1428,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
255,"LL Road Frame - Black, 58",Black,204.6251,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
256,"LL Road Frame - Black, 60",Black,176.1997,297.6346,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
257,"LL Road Frame - Black, 60",Black,170.1428,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
258,"LL Road Frame - Black, 60",Black,204.6251,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
259,"LL Road Frame - Black, 62",Black,176.1997,297.6346,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
260,"LL Road Frame - Black, 62",Black,170.1428,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
261,"LL Road Frame - Black, 62",Black,204.6251,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
262,"LL Road Frame - Red, 44",Red,181.4857,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
263,"LL Road Frame - Red, 44",Red,187.1571,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
264,"LL Road Frame - Red, 48",Red,181.4857,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
265,"LL Road Frame - Red, 48",Red,187.1571,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
266,"LL Road Frame - Red, 52",Red,181.4857,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
267,"LL Road Frame - Red, 52",Red,187.1571,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
268,"LL Road Frame - Red, 58",Red,181.4857,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
269,"LL Road Frame - Red, 58",Red,187.1571,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
270,"LL Road Frame - Red, 60",Red,181.4857,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
271,"LL Road Frame - Red, 60",Red,187.1571,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
272,"LL Road Frame - Red, 62",Red,181.4857,306.5636,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
273,"LL Road Frame - Red, 62",Red,187.1571,337.22,Road Frames,Components,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
274,"ML Road Frame - Red, 44",Red,352.1394,594.83,Road Frames,Components,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
275,"ML Road Frame - Red, 48",Red,352.1394,594.83,Road Frames,Components,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
276,"ML Road Frame - Red, 52",Red,352.1394,594.83,Road Frames,Components,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
277,"ML Road Frame - Red, 58",Red,352.1394,594.83,Road Frames,Components,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
278,"ML Road Frame - Red, 60",Red,352.1394,594.83,Road Frames,Components,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
